[F&0,V&11,R&28576
[F&0,V&10,R&28576
[F&0,V&10,R&28576
,,
[F&65,V&10,R&28576
[F&67,V&10,R&28576
[F&53,V&10,R&24437
[F&0,V&10,R&27718
,,
[F&0,V&10,R&28576
[F&7,V&10,R&29450
[F&49,V&10,R&28576
[F&73,V&10,R&27718
,,
[F&39,V&11,R&25235
[F&2,V&11,R&24437
[F&0,V&10,R&26875
[F&0,V&10,R&26048
,,
[F&25,V&11,R&25235
[F&40,V&10,R&28576
[F&40,V&10,R&28576
[F&18,V&10,R&27718
,,
[F&0,V&10,R&26048
[F&5,V&10,R&27718
[F&2,V&10,R&28576
[F&37,V&10,R&27718
,,
[F&11,V&10,R&29450
[F&0,V&10,R&30340
[F&0,V&10,R&28576
[F&2,V&10,R&29450
,,
[F&48,V&10,R&28576
[F&48,V&10,R&30340
[F&15,V&10,R&28576
[F&0,V&11,R&30340
,,
[F&0,V&10,R&30340
[F&2,V&10,R&31247
[F&36,V&10,R&31247
[F&46,V&10,R&31247
,,
[F&0,V&10,R&31247
[F&0,V&10,R&32171
[F&0,V&10,R&31247
[F&0,V&10,R&32171
,,
[F&21,V&10,R&-31462
[F&80,V&10,R&-32423
[F&92,V&10,R&-32423
[F&85,V&10,R&32171
,,
[F&0,V&10,R&-32423
[F&0,V&10,R&32171
[F&0,V&10,R&-32423
[F&26,V&10,R&28576
,,
[F&61,V&10,R&-31462
[F&3,V&9,R&-30483
[F&0,V&10,R&-31462
[F&0,V&10,R&-31462
,,
[F&53,V&9,R&-30483
[F&69,V&9,R&-29484
[F&57,V&9,R&-29484
[F&27,V&9,R&-29484
,,
[F&0,V&9,R&-29484
[F&0,V&9,R&-29484
[F&16,V&9,R&-28465
[F&68,V&9,R&-29484
,,
[F&46,V&9,R&-28465
[F&0,V&9,R&-27425
[F&0,V&9,R&-28465
[F&0,V&9,R&-28465
,,
[F&43,V&9,R&-26364
[F&65,V&9,R&-26364
[F&66,V&9,R&-26364
[F&22,V&9,R&-25281
,,
[F&0,V&9,R&-26364
[F&0,V&9,R&-20717
[F&3,V&9,R&-24176
[F&0,V&9,R&-25281
,,
[F&0,V&9,R&-24176
[F&4,V&9,R&-24176
[F&17,V&9,R&-24176
[F&18,V&9,R&-24176
,,
[F&1,V&9,R&-24176
[F&1,V&9,R&-24176
[F&37,V&9,R&-20717
[F&70,V&9,R&-24176
,,
[F&0,V&9,R&-23047
[F&1,V&9,R&-23047
[F&66,V&9,R&-23047
[F&74,V&9,R&-23047
,,
[F&0,V&9,R&-23047
[F&0,V&9,R&-21894
[F&2,V&9,R&-21894
[F&49,V&9,R&-23047
,,
[F&1,V&9,R&-23047
[F&0,V&9,R&-20717
[F&0,V&9,R&-21894
[F&41,V&9,R&-25281
,,
[F&68,V&9,R&-24176
[F&14,V&9,R&-21894
[F&0,V&9,R&-24176
[F&0,V&9,R&-23047
,,
[F&0,V&9,R&-21894
[F&0,V&8,R&-20717
[F&0,V&8,R&-19513
[F&0,V&8,R&-19513
,,
[F&2,V&9,R&-23047
[F&1,V&9,R&-25281
[F&1,V&9,R&-29484
[F&1,V&9,R&-29484
,,
[F&30,V&9,R&-28465
[F&45,V&9,R&-29484
[F&52,V&9,R&-29484
[F&138,V&9,R&31247
,,
[F&131,V&9,R&-30483
[F&142,V&9,R&-31462
[F&147,V&10,R&-32423
[F&26,V&10,R&32171
,,
[F&0,V&10,R&-32423
[F&0,V&10,R&32171
[F&0,V&10,R&32171
[F&0,V&10,R&30340
,,
[F&0,V&10,R&28576
[F&0,V&10,R&30340
[F&4,V&10,R&28576
[F&1,V&10,R&29450
,,
[F&8,V&10,R&30340
[F&4,V&10,R&30340
[F&9,V&10,R&30340
[F&6,V&10,R&30340
,,
[F&2,V&10,R&30340
[F&1,V&10,R&30340
[F&1,V&10,R&29450
[F&0,V&10,R&30340
